"time, ms",heartbeat count,"heartbeat rate, ms","balance, Cycles","burned, Cycles","burn rate, Cycles/s","burn rate, BCycles/y",---,"burn rate, TCycles/y"
11369,16,710,3869434444933,36923742,3247756,102421,,102.4
91692,129,710,3869198417145,272951530,2976830,93877,,93.9
130839,185,707,3869080476881,390891794,2987578,94216,,94.2
195461,277,705,3868887958681,583409994,2984789,94128,,94.1
249502,354,704,3868726508299,744860376,2985388,94147,,94.1
316440,449,704,3868527775363,943593312,2981902,94037,,94.0
373014,529,705,3868360110083,1111258592,2979133,93949,,93.9
493110,699,705,3868005982633,1465386042,2971722,93716,,93.7
803021,1138,705,3867094568011,2376800664,2959823,93340,,93.3
961972,1365,704,3866622351859,2849016816,2961642,93398,,93.4
2322354,3285,706,3862642743619,6828625056,2940389,92728,,92.7
