time, s;burned, Cycles;burn rate, Cycles/s;burn rate, TCycles/y
61.2;183620740;3000338;94.6
122.1;367246986;3007755;94.9
183.6;552939512;3011653;95.0
245.0;738632038;3014824;95.1
306.0;922258284;3013915;95.0
367.4;1110022362;3021291;95.3
428.6;1295720160;3023145;95.3
490.0;1481412686;3023291;95.3
551.6;1667105212;3022308;95.3
612.6;1850730937;3021108;95.3
674.0;2036423463;3021399;95.3
735.7;2224192813;3023233;95.3
796.7;2409885339;3024834;95.4
857.8;2591434761;3021024;95.3
919.3;2772989455;3016414;95.1
